Wikidata_Entity,rdfs:label,skos:altLabel,Entities_in_graph_QLIT,prefLabel_in_English_in_graph_QLIT,altLabel_in_English_in_graph_QLIT
http://www.wikidata.org/entity/Q322170,['suffragett'],"['suffragetter', 'rösträttskvinna', 'suffragetterna']",https://queerlit.dh.gu.se/qlit/v1/qy58fc22,['Suffragetter'],"['Kvinnorösträttskämpar', 'Rösträttskvinnor', 'Suffragister']"
http://www.wikidata.org/entity/Q205647,['körkort'],"['körkorts-behörigheter', 'B-körkort', 'körkortsutbildning', 'internationellt körkort']",https://queerlit.dh.gu.se/qlit/v1/up70lp68,['Körkort'],[]
http://www.wikidata.org/entity/Q123851484,['Olikkönade äktenskap'],[],https://queerlit.dh.gu.se/qlit/v1/pz10lk70,['Olikkönade äktenskap'],['Heterosexuella äktenskap']
http://www.wikidata.org/entity/Q1537534,['neovagina'],['vaginoplastik'],https://queerlit.dh.gu.se/qlit/v1/sd59fm82,['Vaginoplastik'],[]
http://www.wikidata.org/entity/Q123851356,['Relationer (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/lm49rl65,['Relationer (hbtqi)'],[]
http://www.wikidata.org/entity/Q10832,['Sexdocka'],[],https://queerlit.dh.gu.se/qlit/v1/ht02we27,['Sexdockor'],['Uppblåsbara dockor']
http://www.wikidata.org/entity/Q184211,['monogami'],"['Monogama', 'Engifte', 'Monogam']",https://queerlit.dh.gu.se/qlit/v1/bv98lh92,['Monogami'],[]
http://www.wikidata.org/entity/Q123851733,['Bögfamiljer'],[],https://queerlit.dh.gu.se/qlit/v1/yj97ew44,['Bögfamiljer'],[]
http://www.wikidata.org/entity/Q457251,['Urolagnia'],"['Våtsex', 'Undinism', 'Urolagni', 'Golden shower', 'Urofil', 'Urofili']",https://queerlit.dh.gu.se/qlit/v1/bv70bv30,['Urinsex'],"['Golden showers', 'Undinism', 'Urolagni', 'Water sports', 'Wet (sex)']"
http://www.wikidata.org/entity/Q208373,['kvinnlig könsstympning'],"['kvinnlig omskärelse', 'könsstympning']",https://queerlit.dh.gu.se/qlit/v1/wk81dt63,['Könsstympning'],"['Kvinnlig könsstympning', 'Kvinnlig omskärelse']"
http://www.wikidata.org/entity/Q35535,['polis'],"['polisväsen', 'polisen', 'bängen', 'svarthjälmare', 'polismakt', 'polisaktion', 'poliser', 'polisens', 'ordningspolis', 'potatisgris', 'snutarna', 'snuten', 'poliskår']",https://queerlit.dh.gu.se/qlit/v1/os99go07,['Poliser'],"['Aina', 'Ordningsmakten', 'Polisen', 'Poliskonstaplar', 'Polistjänstemän', 'Snutar']"
http://www.wikidata.org/entity/Q8458,['mänskliga rättigheter'],[],https://queerlit.dh.gu.se/qlit/v1/qs37gp76,['Mänskliga rättigheter'],[]
http://www.wikidata.org/entity/Q11364,['hormon'],[],https://queerlit.dh.gu.se/qlit/v1/so20eo06,['Hormoner'],"['Testosteron', 'Östrogen']"
http://www.wikidata.org/entity/Q918319,['Analplugg'],['Buttplug'],https://queerlit.dh.gu.se/qlit/v1/yl85hr37,['Buttpluggar'],['Analplugg']
http://www.wikidata.org/entity/Q167918,['förälders förälder'],[],https://queerlit.dh.gu.se/qlit/v1/xx44cw56,['Mor- och farföräldrar'],"['Farfar', 'Farfäder', 'Farföräldrar', 'Farmor', 'Farmödrar', 'Föräldraförälder', 'Föräldraföräldrar', 'Morfar', 'Morfäder', 'Morföräldrar', 'Mormor', 'Mormödrar']"
http://www.wikidata.org/entity/Q123851207,['Intimitet (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/gx90ki07,['Intimitet (hbtqi)'],[]
http://www.wikidata.org/entity/Q845799,['pojkflicka'],[],https://queerlit.dh.gu.se/qlit/v1/qw72dw59,['Pojkflickor'],[]
http://www.wikidata.org/entity/Q123851407,['Unga heterosexuella'],[],https://queerlit.dh.gu.se/qlit/v1/nm13zo20,['Unga heterosexuella'],['Heterosexuella ungdomar']
http://www.wikidata.org/entity/Q123851537,['Mord på HBTQI-personer'],[],https://queerlit.dh.gu.se/qlit/v1/rh94xr73,['Mord på hbtqi-personer'],"['Mord på bisexuella', 'Mord på bögar', 'Mord på homosexuella', 'Mord på intersexpersoner', 'Mord på lesbiska', 'Mord på queera', 'Mord på transpersoner']"
http://www.wikidata.org/entity/Q550675,['hysterektomi'],[],https://queerlit.dh.gu.se/qlit/v1/zm70cc59,['Hysterektomi'],[]
http://www.wikidata.org/entity/Q1165905,['sexuell identitet'],[],https://queerlit.dh.gu.se/qlit/v1/iy93lr17,['Sexuell identitet'],[]
http://www.wikidata.org/entity/Q123851120,['Våld i nära relationer (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/cy11ub78,['Våld i nära relationer (hbtqi)'],"['Närståendevåld', 'Partnervåld', 'Våld i familjen', 'Våld i hemmet']"
http://www.wikidata.org/entity/Q15404978,['Könsuttryck'],[],https://queerlit.dh.gu.se/qlit/v1/aq42lk11,['Könsuttryck'],[]
http://www.wikidata.org/entity/Q123851349,['Taoism (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/lj78ol14,['Taoism (hbtqi)'],"['Daoism (hbtqi)', 'Daoister (hbtqi)', 'Hbtqi-daoister', 'Hbtqi-taoister', 'Taoister (hbtqi)']"
http://www.wikidata.org/entity/Q123851454,['Prostituerade lesbiska'],[],https://queerlit.dh.gu.se/qlit/v1/pm55yu20,['Prostituerade lesbiska'],[]
http://www.wikidata.org/entity/Q123851166,['Förföljelse av bisexuella'],[],https://queerlit.dh.gu.se/qlit/v1/ew86op35,['Förföljelse av bisexuella'],[]
http://www.wikidata.org/entity/Q123851510,['Lesbiska relationer'],[],https://queerlit.dh.gu.se/qlit/v1/qo99it05,['Lesbiska relationer'],[]
http://www.wikidata.org/entity/Q666791,['borgerligt namn'],['juridiskt namn'],https://queerlit.dh.gu.se/qlit/v1/aa40zb14,['Juridiskt namn'],[]
http://www.wikidata.org/entity/Q123851669,['Dragfamiljer'],[],https://queerlit.dh.gu.se/qlit/v1/vu62yz77,['Dragfamiljer'],[]
http://www.wikidata.org/entity/Q123851273,['Blodgivare (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/ir89ck62,['Blodgivare (hbtqi)'],[]
http://www.wikidata.org/entity/Q123851499,['Förföljelse av lesbiska'],[],https://queerlit.dh.gu.se/qlit/v1/qh24te87,['Förföljelse av lesbiska'],[]
http://www.wikidata.org/entity/Q835137,['Flata'],['Flator'],https://queerlit.dh.gu.se/qlit/v1/gs35mz40,['Flator'],[]
http://www.wikidata.org/entity/Q123851229,['Sexställen'],[],https://queerlit.dh.gu.se/qlit/v1/hi88il01,['Sexställen'],['Sexplatser']
http://www.wikidata.org/entity/Q123851375,['Garderobsbisexuella'],[],https://queerlit.dh.gu.se/qlit/v1/mk46kv76,['Garderobsbisexuella'],[]
http://www.wikidata.org/entity/Q123851127,['Asiater (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/df78pd63,['Asiater (hbtqi)'],[]
http://www.wikidata.org/entity/Q123851202,['Offer för sexuella övergrepp (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/gl76ac31,['Offer för sexuella övergrepp (hbtqi)'],"['Hbtqi-personer drabbade av sexbrott', 'Hbtqi-personer drabbade av sexuella övergrepp', 'Hbtqi-personer drabbade av sexuellt våld', 'Hbtqi-personer utsatta för sexbrott', 'Hbtqi-personer utsatta för sexuella övergrepp', 'Hbtqi-personer utsatta för sexuellt våld', 'Offer för sexbrott (hbtqi)', 'Offer för sexuellt våld (hbtqi)']"
http://www.wikidata.org/entity/Q123851342,['Partners till bisexuella'],[],https://queerlit.dh.gu.se/qlit/v1/lf94dz65,['Partners till bisexuella'],[]
http://www.wikidata.org/entity/Q1806228,['Orkidektomi'],[],https://queerlit.dh.gu.se/qlit/v1/zj98an94,['Orkidektomi'],['Orkiektomi']
http://www.wikidata.org/entity/Q123851641,['Familjer med ensamstående föräldrar (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/um15fy01,['Familjer med ensamstående föräldrar (hbtqi)'],[]
http://www.wikidata.org/entity/Q123851233,['Krigsoffer (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/hp00qz40,['Krigsoffer (hbtqi)'],['Krigsdrabbade hbtqi-personer']
http://www.wikidata.org/entity/Q123851223,['Nyutkomna lesbiska'],[],https://queerlit.dh.gu.se/qlit/v1/hg41ea96,['Nyutkomna lesbiska'],[]
http://www.wikidata.org/entity/Q123851760,['Unga intersexpersoner'],[],https://queerlit.dh.gu.se/qlit/v1/zl81mx49,['Unga intersexpersoner'],"['Intersextonåringar', 'Intersexungdomar']"
http://www.wikidata.org/entity/Q123851380,['Ursprungsbefolkningar (HBTQI)'],[],https://queerlit.dh.gu.se/qlit/v1/mo36hy57,['Ursprungsbefolkningar (hbtqi)'],"['Urbefolkningar (hbtqi)', 'Urfolk (hbtqi)', 'Urinvånare (hbtqi)']"
http://www.wikidata.org/entity/Q123851402,['Icke-vita HBTQI-personer'],[],https://queerlit.dh.gu.se/qlit/v1/nj44aa03,['Icke-vita hbtqi-personer'],"['Färgade hbtqi-personer', 'Hbtqi POC', 'Hbtqi people of color', 'Hbtqi people of colour', 'Ickevita hbtqi-personer', 'Rasifierade hbtqi-personer']"
